id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2868419,An Eighteenth-Century Stage Adaptation of the Falstaff Part in the First Part of Henry IV,Shakespeare Quarterly,1970,,article,jstor,1970-01-01,1,21,http://www.jstor.org/stable/2868419,Akihiro Yamada,Folger Shakespeare Library,eng,103,104,,815,2,unigram; bigram; trigram
http://www.jstor.org/stable/2867109,"Stratford, Connecticut, Shakespeare Festival, 1959",Shakespeare Quarterly,1959,,article,jstor,1959-10-01,4,10,http://www.jstor.org/stable/2867109,Claire McGlinchee,Folger Shakespeare Library,eng,573,576,,2147,4,unigram; bigram; trigram
http://www.jstor.org/stable/2866542,"The ""Good Night, Good Night"" Sequence in Romeo and Juliet",Shakespeare Quarterly,1954,,article,jstor,1954-01-01,1,5,http://www.jstor.org/stable/2866542,Richard Hosley,Folger Shakespeare Library,eng,96,98,,1543,3,unigram; bigram; trigram
http://www.jstor.org/stable/24778435,"""Hamlet's"" Alchemy: Transubstantiation, Modernity, Belief",Shakespeare Quarterly,2013,,article,jstor,2013-04-01,1,64,http://www.jstor.org/stable/24778435,Katherine Eggert,Folger Shakespeare Library,eng,45,57,,6242,13,unigram; bigram; trigram
http://www.jstor.org/stable/2871267,Review Article,Shakespeare Quarterly,1997,,article,jstor,1997-12-01,4,48,http://www.jstor.org/stable/2871267,R. W. Desai,Folger Shakespeare Library,eng,489,492,,1941,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869990,Bibliographies and Checklists,Shakespeare Quarterly,1981,,article,jstor,1981-12-01,4,32,http://www.jstor.org/stable/2869990,Harrison T. Meserole; John B. Smith,Folger Shakespeare Library,eng,441,444,,1936,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869302,"Shakespeare in Washington, D. C.",Shakespeare Quarterly,1979,,article,jstor,1979-04-01,2,30,http://www.jstor.org/stable/2869302,Jeanne Addison Roberts,Folger Shakespeare Library,eng,192,196,,3227,5,unigram; bigram; trigram
http://www.jstor.org/stable/2869196,Logic Versus The Slovenly World in Shakespearean Comedy,Shakespeare Quarterly,1980,,article,jstor,1980-10-01,3,31,http://www.jstor.org/stable/2869196,"O. B. Hardison, Jr.",Folger Shakespeare Library,eng,311,322,,6924,12,unigram; bigram; trigram
http://www.jstor.org/stable/2870389,Painting as Literature,Shakespeare Quarterly,1984,,article,jstor,1984-10-01,3,35,http://www.jstor.org/stable/2870389,Geoffrey Ashton,Folger Shakespeare Library,eng,373,374,,1042,2,unigram; bigram; trigram
http://www.jstor.org/stable/2869529,Other Shakespeare in New York City,Shakespeare Quarterly,1980,,article,jstor,1980-07-01,2,31,http://www.jstor.org/stable/2869529,Carol Rosen,Folger Shakespeare Library,eng,197,202,,3267,6,unigram; bigram; trigram
http://www.jstor.org/stable/2866979,Review Article,Shakespeare Quarterly,1957,,article,jstor,1957-04-01,2,8,http://www.jstor.org/stable/2866979,J. G. M.,Folger Shakespeare Library,eng,243,244,,296,2,unigram; bigram; trigram
http://www.jstor.org/stable/2867034,Review Article,Shakespeare Quarterly,1959,,article,jstor,1959-01-01,1,10,http://www.jstor.org/stable/2867034,Yar Slavutych,Folger Shakespeare Library,eng,108,109,,981,2,unigram; bigram; trigram
http://www.jstor.org/stable/2871235,"Shakespeare at Stratford-upon-Avon, 1993-94",Shakespeare Quarterly,1994,,article,jstor,1994-10-01,3,45,http://www.jstor.org/stable/2871235,Russell Jackson,Folger Shakespeare Library,eng,332,348,,9800,17,unigram; bigram; trigram
http://www.jstor.org/stable/2867796,Correspondence,Shakespeare Quarterly,1963,,article,jstor,1963-04-01,2,14,http://www.jstor.org/stable/2867796,,Folger Shakespeare Library,eng,189,189,,55,1,unigram; bigram; trigram
http://www.jstor.org/stable/24778492,"The Question of Original Sin in ""Hamlet""",Shakespeare Quarterly,2013,,article,jstor,2013-12-01,4,64,http://www.jstor.org/stable/24778492,John Gillies,Folger Shakespeare Library,eng,396,424,,14404,29,unigram; bigram; trigram
http://www.jstor.org/stable/2868039,Review Article,Shakespeare Quarterly,1962,,article,jstor,1962-10-01,4,13,http://www.jstor.org/stable/2868039,Maria Regina Abrantes da Silva Pinto,Folger Shakespeare Library,eng,577,578,,609,2,unigram; bigram; trigram
http://www.jstor.org/stable/2871043,"""How shall we find the concord of this discord?"": Teaching Shakespeare in Israel, 1994",Shakespeare Quarterly,1995,,article,jstor,1995-07-01,2,46,http://www.jstor.org/stable/2871043,Michael Yogev,Folger Shakespeare Library,eng,157,164,,4083,8,unigram; bigram; trigram
http://www.jstor.org/stable/2869482,The New Arden Coriolanus,Shakespeare Quarterly,1979,,article,jstor,1979-07-01,3,30,http://www.jstor.org/stable/2869482,T. H. Howard-Hill,Folger Shakespeare Library,eng,423,426,,2064,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869042,Dissertations,Shakespeare Quarterly,1975,,article,jstor,1975-10-01,4,26,http://www.jstor.org/stable/2869042,Thomas F. Grieve; Rudolph E. Habenicht,Folger Shakespeare Library,eng,346,351,,2757,6,unigram; bigram; trigram
http://www.jstor.org/stable/4123506,Review Article,Shakespeare Quarterly,2006,,article,jstor,2006-12-01,4,57,http://www.jstor.org/stable/4123506,Edmund Valentine Campos,Folger Shakespeare Library,eng,489,492,,1376,4,unigram; bigram; trigram
http://www.jstor.org/stable/2871330,Antony and Cleopatra,Shakespeare Quarterly,1997,,article,jstor,1997-01-01,5,48,http://www.jstor.org/stable/2871330,,Folger Shakespeare Library,eng,605,609,,3106,5,unigram; bigram; trigram
http://www.jstor.org/stable/2867101,"Shakespeare's ""Folly"": King Lear",Shakespeare Quarterly,1959,,article,jstor,1959-10-01,4,10,http://www.jstor.org/stable/2867101,Carolyn S. French,Folger Shakespeare Library,eng,523,529,,3271,7,unigram; bigram; trigram
http://www.jstor.org/stable/2869187,Elizabethan Love Poetry,Shakespeare Quarterly,1978,,article,jstor,1978-01-01,1,29,http://www.jstor.org/stable/2869187,Hallett Smith,Folger Shakespeare Library,eng,114,116,,1340,3,unigram; bigram; trigram
http://www.jstor.org/stable/2867196,Coleville of the Dale,Shakespeare Quarterly,1958,,article,jstor,1958-01-01,1,9,http://www.jstor.org/stable/2867196,Peter G. Phialas,Folger Shakespeare Library,eng,86,88,,1202,3,unigram; bigram; trigram
http://www.jstor.org/stable/2902365,Review Article,Shakespeare Quarterly,1999,,article,jstor,1999-10-01,3,50,http://www.jstor.org/stable/2902365,Barbara Hodgdon,Folger Shakespeare Library,eng,372,375,,2065,4,unigram; bigram; trigram
http://www.jstor.org/stable/2870902,Overkill in Shakespeare,Shakespeare Quarterly,1992,,article,jstor,1992-04-01,1,43,http://www.jstor.org/stable/2870902,Gillian Murray Kendall,Folger Shakespeare Library,eng,33,50,,9657,18,unigram; bigram; trigram
http://www.jstor.org/stable/2866046,Twelfth Night and Shakespearian Comedy,Shakespeare Quarterly,1955,,article,jstor,1955-01-01,1,6,http://www.jstor.org/stable/2866046,Milton Crane,Folger Shakespeare Library,eng,1,8,,3981,8,unigram; bigram; trigram
http://www.jstor.org/stable/2871021,Review Article,Shakespeare Quarterly,1997,,article,jstor,1997-10-01,3,48,http://www.jstor.org/stable/2871021,Heather Dubrow,Folger Shakespeare Library,eng,336,338,,1482,3,unigram; bigram; trigram
http://www.jstor.org/stable/2871113,Review Article,Shakespeare Quarterly,1996,,article,jstor,1996-07-01,2,47,http://www.jstor.org/stable/2871113,Jay L. Halio,Folger Shakespeare Library,eng,221,222,,1211,2,unigram; bigram; trigram
http://www.jstor.org/stable/2867671,Review Article,Shakespeare Quarterly,1965,,article,jstor,1965-10-01,4,16,http://www.jstor.org/stable/2867671,Kenneth Muir,Folger Shakespeare Library,eng,349,350,,863,2,unigram; bigram; trigram
http://www.jstor.org/stable/2871071,Front Matter,Shakespeare Quarterly,1964,,article,jstor,1964-01-01,,15,http://www.jstor.org/stable/2871071,,Folger Shakespeare Library,eng,,,,496,4,unigram; bigram; trigram
http://www.jstor.org/stable/2870361,Front Matter,Shakespeare Quarterly,1984,,article,jstor,1984-10-01,3,35,http://www.jstor.org/stable/2870361,,Folger Shakespeare Library,eng,257,259,,1291,5,unigram; bigram; trigram
http://www.jstor.org/stable/2870043,Idaho Shakespeare Festival,Shakespeare Quarterly,1981,,article,jstor,1981-07-01,2,32,http://www.jstor.org/stable/2870043,James H. Maguire,Folger Shakespeare Library,eng,246,248,,1260,3,unigram; bigram; trigram
http://www.jstor.org/stable/2870256,Shakespeare in Adelaide,Shakespeare Quarterly,1981,,article,jstor,1981-10-01,3,32,http://www.jstor.org/stable/2870256,Alan Brissenden,Folger Shakespeare Library,eng,363,364,,584,2,unigram; bigram; trigram
http://www.jstor.org/stable/2868049,Review Article,Shakespeare Quarterly,1962,,article,jstor,1962-10-01,4,13,http://www.jstor.org/stable/2868049,Giles E. Dawson,Folger Shakespeare Library,eng,584,584,,138,1,unigram; bigram; trigram
http://www.jstor.org/stable/2870372,"Gonzalo's ""Lasting Pillars"": The Tempest, V.i.208",Shakespeare Quarterly,1984,,article,jstor,1984-10-01,3,35,http://www.jstor.org/stable/2870372,Dennis C. Kay,Folger Shakespeare Library,eng,322,324,,1698,3,unigram; bigram; trigram
http://www.jstor.org/stable/2868942,"New York Shakespeare Festival, Lincoln Center, 1973-74",Shakespeare Quarterly,1974,,article,jstor,1974-10-01,4,25,http://www.jstor.org/stable/2868942,M. E. Comtois,Folger Shakespeare Library,eng,405,409,,2311,5,unigram; bigram; trigram
http://www.jstor.org/stable/24778514,Review Article,Shakespeare Quarterly,2014,,article,jstor,2014-04-01,1,65,http://www.jstor.org/stable/24778514,Deborah T. Curren-Aquino,Folger Shakespeare Library,eng,86,90,,2171,5,unigram; bigram; trigram
http://www.jstor.org/stable/2866414,Shakespeare: An Annotated Bibliography for 1954,Shakespeare Quarterly,1955,,article,jstor,1955-04-01,2,6,http://www.jstor.org/stable/2866414,Paul A. Jorgensen,Folger Shakespeare Library,eng,201,202,,593,2,unigram; bigram; trigram
http://www.jstor.org/stable/2870716,Review Article,Shakespeare Quarterly,1988,,article,jstor,1988-12-01,4,39,http://www.jstor.org/stable/2870716,Michael D. Bristol,Folger Shakespeare Library,eng,517,518,,876,2,unigram; bigram; trigram
http://www.jstor.org/stable/2870937,Review Article,Shakespeare Quarterly,1988,,article,jstor,1988-10-01,3,39,http://www.jstor.org/stable/2870937,Jeanne Addison Roberts,Folger Shakespeare Library,eng,370,371,,661,2,unigram; bigram; trigram
http://www.jstor.org/stable/2868374,Volume Information,Shakespeare Quarterly,1969,,article,jstor,1969-07-01,3,20,http://www.jstor.org/stable/2868374,,Folger Shakespeare Library,eng,iii,xvii,,6779,15,unigram; bigram; trigram
http://www.jstor.org/stable/2868438,"[Illustration]: Woodcut Illustration of the First of Hrotsvit's Comedies, Gallicanus (Opera. Nuremberg, 1501)",Shakespeare Quarterly,1970,,article,jstor,1970-10-01,4,21,http://www.jstor.org/stable/2868438,,Folger Shakespeare Library,eng,472,472,,32,1,unigram; bigram; trigram
http://www.jstor.org/stable/2869052,The Hoby Letter and Richard II: A Parable of Criticism,Shakespeare Quarterly,1975,,article,jstor,1975-10-01,4,26,http://www.jstor.org/stable/2869052,David M. Bergeron,Folger Shakespeare Library,eng,477,480,,1930,4,unigram; bigram; trigram
http://www.jstor.org/stable/2868066,"The Melancholy of Moor-Ditch: A Gloss of 1 Henry IV, I. ii. 87-88",Shakespeare Quarterly,1967,,article,jstor,1967-01-01,1,18,http://www.jstor.org/stable/2868066,Bridget Gellert,Folger Shakespeare Library,eng,70,71,,747,2,unigram; bigram; trigram
http://www.jstor.org/stable/2870787,Review Article,Shakespeare Quarterly,1990,,article,jstor,1990-12-01,4,41,http://www.jstor.org/stable/2870787,Susan Snyder,Folger Shakespeare Library,eng,530,531,,1078,2,unigram; bigram; trigram
http://www.jstor.org/stable/2870695,Review Article,Shakespeare Quarterly,1986,,article,jstor,1986-12-01,4,37,http://www.jstor.org/stable/2870695,Charles R. Forker,Folger Shakespeare Library,eng,534,536,,1620,3,unigram; bigram; trigram
http://www.jstor.org/stable/2867999,[Illustration]: Illustration of Act V of Terence's Eunuchus,Shakespeare Quarterly,1962,,article,jstor,1962-10-01,4,13,http://www.jstor.org/stable/2867999,,Folger Shakespeare Library,eng,520,520,,46,1,unigram; bigram; trigram
http://www.jstor.org/stable/2902227,General Shakespeareana,Shakespeare Quarterly,1998,,article,jstor,1998-01-01,5,49,http://www.jstor.org/stable/2902227,,Folger Shakespeare Library,eng,495,573,,67307,79,unigram; bigram; trigram
http://www.jstor.org/stable/41819769,Review Article,Shakespeare Quarterly,2012,,article,jstor,2012-12-01,4,63,http://www.jstor.org/stable/41819769,Mark Bayer,Folger Shakespeare Library,eng,577,580,,1619,4,unigram; bigram; trigram
http://www.jstor.org/stable/2868032,Review Article,Shakespeare Quarterly,1962,,article,jstor,1962-10-01,4,13,http://www.jstor.org/stable/2868032,Peter G. Phialas,Folger Shakespeare Library,eng,570,571,,628,2,unigram; bigram; trigram
http://www.jstor.org/stable/2868513,The Third Murderer in Macbeth,Shakespeare Quarterly,1972,,article,jstor,1972-07-01,3,23,http://www.jstor.org/stable/2868513,George Walton Williams,Folger Shakespeare Library,eng,261,261,,274,1,unigram; bigram; trigram
http://www.jstor.org/stable/2866520,Volume Information,Shakespeare Quarterly,1954,,article,jstor,1954-01-01,1,5,http://www.jstor.org/stable/2866520,,Folger Shakespeare Library,eng,i,xxiv,,12530,27,unigram; bigram; trigram
http://www.jstor.org/stable/2868691,Review Article,Shakespeare Quarterly,1972,,article,jstor,1972-10-01,4,23,http://www.jstor.org/stable/2868691,R. J. S.,Folger Shakespeare Library,eng,460,460,,94,1,unigram; bigram; trigram
http://www.jstor.org/stable/23025656,Review Article,Shakespeare Quarterly,2011,,article,jstor,2011-10-01,3,62,http://www.jstor.org/stable/23025656,Anthony R. Guneratne,Folger Shakespeare Library,eng,475,478,,1453,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869524,Boston Shakespeare Company,Shakespeare Quarterly,1980,,article,jstor,1980-07-01,2,31,http://www.jstor.org/stable/2869524,Virginia M. Carr,Folger Shakespeare Library,eng,184,186,,1183,3,unigram; bigram; trigram
http://www.jstor.org/stable/2866256,Review Article,Shakespeare Quarterly,1951,,article,jstor,1951-10-01,4,2,http://www.jstor.org/stable/2866256,Robert M. Smith,Folger Shakespeare Library,eng,353,358,,3198,6,unigram; bigram; trigram
http://www.jstor.org/stable/2870461,A Midsummer Night's Dream: Anamorphism and Theseus' Dream,Shakespeare Quarterly,1991,,article,jstor,1991-12-01,4,42,http://www.jstor.org/stable/2870461,James L. Calderwood,Folger Shakespeare Library,eng,409,430,,13296,22,unigram; bigram; trigram
http://www.jstor.org/stable/2869691,"Shakespeare in Bergen, 1983",Shakespeare Quarterly,1984,,article,jstor,1984-04-01,1,35,http://www.jstor.org/stable/2869691,Andrew Kennedy,Folger Shakespeare Library,eng,95,96,,1230,2,unigram; bigram; trigram
http://www.jstor.org/stable/2870134,Measure for Measure On the Chinese Stage,Shakespeare Quarterly,1982,,article,jstor,1982-12-01,4,33,http://www.jstor.org/stable/2870134,Carolyn Wakeman,Folger Shakespeare Library,eng,499,502,,2270,4,unigram; bigram; trigram
http://www.jstor.org/stable/2869306,Shakespeare in Florida,Shakespeare Quarterly,1979,,article,jstor,1979-04-01,2,30,http://www.jstor.org/stable/2869306,Eugene S. Clasby,Folger Shakespeare Library,eng,204,205,,1175,2,unigram; bigram; trigram
http://www.jstor.org/stable/2866701,[Illustration]: Vocabula,Shakespeare Quarterly,1952,,article,jstor,1952-10-01,4,3,http://www.jstor.org/stable/2866701,,Folger Shakespeare Library,eng,366,366,,30,1,unigram; bigram; trigram
http://www.jstor.org/stable/3844302,Front Matter,Shakespeare Quarterly,2005,,article,jstor,2005-07-01,2,56,http://www.jstor.org/stable/3844302,,Folger Shakespeare Library,eng,i,ii,,646,3,unigram; bigram; trigram
http://www.jstor.org/stable/2867522,[Illustration]: The Constant Couple,Shakespeare Quarterly,1957,,article,jstor,1957-01-01,1,8,http://www.jstor.org/stable/2867522,,Folger Shakespeare Library,eng,90,90,,35,1,unigram; bigram; trigram
http://www.jstor.org/stable/2869274,Watermarks in the Manuscript of Sir Thomas More and a Possible Collation,Shakespeare Quarterly,1975,,article,jstor,1975-01-01,1,26,http://www.jstor.org/stable/2869274,Michael L. Hays,Folger Shakespeare Library,eng,66,69,,1911,4,unigram; bigram; trigram
http://www.jstor.org/stable/2868273,The Date of Edward III,Shakespeare Quarterly,1965,,article,jstor,1965-04-01,2,16,http://www.jstor.org/stable/2868273,Karl P. Wentersdorf,Folger Shakespeare Library,eng,227,231,,2655,5,unigram; bigram; trigram
http://www.jstor.org/stable/2871319,Shakespeare and His Stage,Shakespeare Quarterly,1997,,article,jstor,1997-01-01,5,48,http://www.jstor.org/stable/2871319,,Folger Shakespeare Library,eng,548,550,,1970,3,unigram; bigram; trigram
http://www.jstor.org/stable/3844320,Front Matter,Shakespeare Quarterly,2004,,article,jstor,2004-04-01,1,55,http://www.jstor.org/stable/3844320,,Folger Shakespeare Library,eng,i,ii,,1073,3,unigram; bigram; trigram
http://www.jstor.org/stable/2870735,Review Article,Shakespeare Quarterly,1989,,article,jstor,1989-10-01,3,40,http://www.jstor.org/stable/2870735,Michael D. Bristol,Folger Shakespeare Library,eng,349,352,,1231,3,unigram; bigram; trigram
http://www.jstor.org/stable/2869789,"Lamb, Shakespeare, and the Stage",Shakespeare Quarterly,1982,,article,jstor,1982-07-01,2,33,http://www.jstor.org/stable/2869789,Roy Park,Folger Shakespeare Library,eng,164,177,,7921,14,unigram; bigram; trigram
