Character,Sentence,movie_number,identified_spells
Vernon,Marge is ill. Ate a funny whelk.,film 1,
Dudley,"Dad, look! Harry's got a letter!",film 1,
Harry,"Hey, give it back! It's mine!",film 1,
Vernon,Yours? Who'd be writing to you?,film 1,
Vernon,No more mail through this letterbox.,film 1,
Petunia,"Have a lovely day at the office, dear.",film 1,
Vernon,Shoo! Go on.,film 1,
Vernon,"Fine day, Sunday.",film 1,
Vernon,"In my opinion, best day of the week.",film 1,
Vernon,"Why is that, Dudley?",film 1,
Harry,Because there's no post on Sundays?,film 1,
Vernon,"Right you are, Harry!",film 1,
Vernon,No post on Sunday.,film 1,
Vernon,"No blasted letters today! No, sir.",film 1,
Vernon,Not one single bloody letter. Not one!,film 1,
Vernon,"No, sir, not one blasted, miserable...",film 1,
Dudley,Stop it!,film 1,
Dudley,"Mummy, what's happening?",film 1,
Vernon,Give me that!,film 1,
Vernon,Give me that letter!,film 1,
Harry,Get off!,film 1,
Harry,They're my letters!,film 1,
Harry,Let go of me!,film 1,
Vernon,That's it!,film 1,
Vernon,We're going away!,film 1,
Vernon,"Far away, where they can't find us!",film 1,
Dudley,"Daddy's gone mad, hasn't he?",film 1,
Harry,"Make a wish, Harry.",film 1,
Vernon,Who's there?,film 1,
Hagrid,Sorry about that.,film 1,
Vernon,"I demand that you leave at once, Sir!",film 1,
Vernon,You are breaking and entering!,film 1,
Hagrid,"Dry up, Dursley, you great prune.",film 1,
Hagrid,"Mind, I haven't seen you since you was a baby, Harry.",film 1,
Hagrid,But you're a bit more along than I would have expected.,film 1,
Hagrid,Particularly 'round the middle.,film 1,
Dudley,I'm not Harry.,film 1,
Harry,I am.,film 1,
Hagrid,"Well, of course you are.",film 1,
Hagrid,Got something for you.,film 1,
Hagrid,"Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.",film 1,
Hagrid,"Baked it myself, words and all.",film 1,
Harry,Thank you.,film 1,
Hagrid,"It's not every day that your young man turns 11, now is it?",film 1,
Harry,"Excuse me, who are you?",film 1,
Hagrid,"Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.",film 1,
Hagrid,"Of course, you know all about Hogwarts.",film 1,
Harry,"Sorry, no.",film 1,
Hagrid,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",film 1,
Harry,Learnt what?,film 1,
Hagrid,"You're a wizard, Harry.",film 1,
Harry,I'm a what?,film 1,
Hagrid,A wizard.,film 1,
Hagrid,"And a thumping good one, I'd wager, once you're trained up little.",film 1,
Harry,"No, you've made a mistake.",film 1,
Harry,I mean...l can't be a wizard.,film 1,
Harry,"I mean, I'm just Harry.",film 1,
Harry,Just Harry.,film 1,
Hagrid,"Well, Just Harry, did you ever make anything happen?",film 1,
Hagrid,"Anything you couldn't explain, when you were angry or scared?",film 1,
Harry,"Dear Mr. Potter,",film 1,
Harry,"We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.""",film 1,
Vernon,He will not be going there!,film 1,
Vernon,We swore when we took him in we'd put a stop to all this rubbish.,film 1,
Harry,You knew? ,film 1,
Harry,You knew all along and you never told me?,film 1,
Petunia,Of course we knew.,film 1,
Petunia,How could you not be?,film 1,
Petunia,My perfect sister being who she was.,film 1,
Petunia,My mother and father were so proud the day she got her letter.,film 1,
Petunia,We have a witch in the family.,film 1,
Petunia,"Isn't it wonderful?""",film 1,
Petunia,I was the only one to see her for what she was.,film 1,
Petunia,A freak!,film 1,
Petunia,"Then she met that Potter, and then she had you...",film 1,
Petunia,and I knew you would be the same.,film 1,
Petunia,"Just as strange, just as abnormal.",film 1,
Petunia,"And then, if you please, she went and got herself blown up!",film 1,
Petunia,And we got landed with you.,film 1,
Harry,Blown up?,film 1,
Harry,You told me my parents died in a car crash.,film 1,
Hagrid,A car crash? ,film 1,
Hagrid,A car crash killed Lily and James Potter?,film 1,
Petunia,We had to say something.,film 1,
Hagrid,It's an outrage!,film 1,
Hagrid,It's a scandal!,film 1,
Vernon,He'll not be going.,film 1,
Hagrid,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",film 1,
Harry,Muggle?,film 1,
Hagrid,Non-magic folk.,film 1,
Hagrid,This boy's had his name down ever since he were born.,film 1,
Hagrid,He's going to the finest school of witchcraft and wizardry in the world and...,film 1,
Hagrid,"he'll be under the finest headmaster that Hogwarts has ever seen, Albus Dumbledore.",film 1,
Vernon,I will not pay to have some crackpot old fool teach him magic tricks.,film 1,
Hagrid,Never insult Albus Dumbledore in front of me.,film 1,
Hagrid,"Oh, um, I'd appreciate it if you didn't tell anyone at Hogwarts about that.",film 1,
Hagrid,"Strickly speaking, I'm not allowed to do magic.",film 1,
Harry,Okay.,film 1,
Hagrid,"Ooh, We're a bit behind schedule.",film 1,
Hagrid,Best be off.,film 1,
Hagrid,"Unless you'd rather stay, of course.",film 1,
Harry,First year's students will require three sets of plain work robes one wand.,film 1,
Hagrid,"Essential bit of equipment, Harry.",film 1,
Harry,One pair of dragon hide gloves.,film 1,
Harry,"Hagrid, Do they mean from a real dragon?",film 1,
Hagrid,"They don't mean a penguin, do they?",film 1,
Hagrid,Crikey. I'd love a dragon.,film 1,
Harry,You'd like a dragon?,film 1,
Hagrid,"Vastly misunderstood beasts, Harry.",film 1,
Hagrid,Vastly misunderstood.,film 1,
Harry,"All students must be equipped with one standard size 2 pewter cauldron and may bring, if they desire, either an owl, a cat or a toad.",film 1,
Harry,Can we find all this in London?,film 1,
Hagrid,If you know where to go.,film 1,
Barkeep Tom,"Ah, Hagrid! The usual, I presume?",film 1,
Hagrid,"No, thanks, Tom.",film 1,
Hagrid,I'm on official Hogwarts business.,film 1,
Hagrid,Just helping young Harry here buy his school supplies.,film 1,
Barkeep Tom,Bless my soul.,film 1,
Barkeep Tom,It's Harry Potter!,film 1,
Man,"Welcome back, Mr. Potter.",film 1,
Man,Welcome back.,film 1,
Witch,"Doris Crockford, Mr Potter.",film 1,
Witch,I can't believe I'm meeting you at last.,film 1,
Quirrell,Harry Potter. Can't tell you how pleased I am to meet you.,film 1,
Hagrid,"Hello, professor. I didn't see you there.",film 1,
Hagrid,"Harry, This is Professor Quirrell. ",film 1,
Hagrid,He will be your Defense Against the Dark Arts teacher at Hogwarts,film 1,
Harry,"Oh, nice to meet you.",film 1,
Quirrell,Fearfully fascinating subject.,film 1,
Quirrell,"Not that you need it, eh, Potter?",film 1,
Hagrid,"Yes, well, must be going now.",film 1,
Hagrid,Lots to buy.,film 1,
Harry,Goodbye.,film 1,
Hagrid,"See, Harry? You're famous.",film 1,
Harry,"But why am I famous, Hagrid?",film 1,
Harry,"All those people back there, how is it they know who I am?",film 1,
Hagrid,"I'm not sure I'm exactly the right person to tell you that, Harry.",film 1,
Hagrid,"Welcome, Harry, to Diagon Alley.",film 1,
Hagrid,Here's where you'll get your quills and your ink.,film 1,
Hagrid,"And over there, all your bits and bobs for doing your wizardry.",film 1,
Boy,It's a world-class racing broom.,film 1,
Boy,Look at it! The new Nimbus 2000!,film 1,
Boy,It's the fastest model yet.,film 1,
Harry,"But, Hagrid, how am I to pay for all this?",film 1,
Harry,I haven't any money.,film 1,
Hagrid,"Well there's your money, Harry.",film 1,
Hagrid,"Gringotts, the wizard bank.",film 1,
Hagrid,"Ain't no safer place, not one.",film 1,
Hagrid,Except perhaps Hogwarts.,film 1,
Harry,"Hagrid, what exactly are these things?",film 1,
Hagrid,"They're goblins, Harry.",film 1,
Hagrid,Clever as they come goblins but not the most friendly of beasts.,film 1,
Hagrid,Best stay close.,film 1,
Hagrid,Mr. Harry Potter wishes to make a withdrawal.,film 1,
Goblin,And does Mr. Harry Potter have his key?,film 1,
Hagrid,"Oh, Wait a minute.",film 1,
Hagrid,Got it here somewhere.,film 1,
Hagrid,Ha! Here's the little devil.,film 1,
Hagrid,"Oh, and there's something else as well.",film 1,
Hagrid,Professor Dumbledore gave me this.,film 1,
Hagrid,It's about You-Know-What in vault you-know-which.,film 1,
Goblin,Very well.,film 1,
Griphook,Vault 687.,film 1,
Griphook,"Lamp, please.",film 1,
Griphook,"Key, please.",film 1,
Hagrid,"Didn't think your mum and dad will leave you with nothing, now did ya?",film 1,
Griphook,Vault 713.,film 1,
Harry,"What's in there, Hagrid?",film 1,
Hagrid,"Can't tell you, Harry.",film 1,
Hagrid,Hogwarts business. Very secret.,film 1,
Griphook,Stand back.,film 1,
Hagrid,"Best not to mention this to anyone, Harry.",film 1,
Harry,I still need... a wand.,film 1,
Hagrid,"A wand? Well, you'll want Ollivanders.",film 1,
Hagrid,There ain't no place better.,film 1,
Hagrid,Why don't you run along there and wait.,film 1,
Hagrid, I just got one more thing I gotta do.,film 1,
Hagrid, Won't be long.,film 1,
Harry,Hello?,film 1,
Harry,Hello?,film 1,
Ollivander,"I wondered when I'd be seeing you, Mr. Potter.",film 1,
Ollivander,It seems only yesterday that your mother and father were in here buying their first wands.,film 1,
Ollivander,Here we are.,film 1,
Ollivander,Give it a wave.,film 1,
Ollivander,Apparently not.,film 1,
Ollivander,Perhaps… this,film 1,
Ollivander,"No, no, definitely not.",film 1,
Ollivander,No matter.,film 1,
Ollivander,I wonder.. Curious.,film 1,
Ollivander,Very curious.,film 1,
Harry,"Sorry, but what's curious?",film 1,
Ollivander,"I remember every wand I've ever sold, Mr. Potter.",film 1,
Ollivander,"It so happens that the phoenix whose tail feather resides in your wand, gave another feather.",film 1,
Ollivander,Just one other.,film 1,
Ollivander,It is curious that you should be destined for this wand when its brother gave you that scar. ,film 1,
Harry,And who owned that wand?,film 1,
Ollivander,We do not speak his name.,film 1,
Ollivander,"The wand chooses the wizard, Mr. Potter.",film 1,
Ollivander,It's not always clear why.,film 1,
Ollivander,But I think it is clear that we can expect great things from you.,film 1,
Ollivander,"After all, He-Who-Must-Not-Be-Named did great things.",film 1,
Ollivander,"Terrible yes, but great",film 1,
Hagrid,Harry! Harry!,film 1,
Hagrid,Happy birthday.,film 1,
Hagrid,"You all right, Harry?",film 1,
Hagrid,You seem very quiet.,film 1,
Harry,"He killed my parents, didn't he?",film 1,
Harry,The one who gave me this.,film 1,
Harry,"You know, Hagrid. ",film 1,
Harry,I know you do.,film 1,
Hagrid,"First, and understand this Harry because it's very important:",film 1,
Hagrid,Not all wizards are good.,film 1,
Hagrid,Some of them go bad.,film 1,
Hagrid,A few years ago there was a one wizard who went as bad as he can go.,film 1,
Hagrid, His name was V...,film 1,
Hagrid,His name was V...,film 1,
Harry,Maybe if you wrote it down?,film 1,
Hagrid,"No, I can't spell it.",film 1,
Hagrid,"All right, Voldemort.",film 1,
Harry,Voldemort?,film 1,
Hagrid,"It was dark times, Harry. Dark times.",film 1,
Hagrid,Voldemort started to gather some followers.,film 1,
Hagrid,Brought them over to the Dark Side.,film 1,
Hagrid,Anyone that stood up to him ended up dead.,film 1,
Hagrid,Your parents fought against him.,film 1,
Hagrid,But nobody lived once he decided to kill them.,film 1,
Hagrid,"Nobody, not one.",film 1,
Hagrid,Except you.,film 1,
Harry,Me? Voldemort tried to kill me?,film 1,
Hagrid,"Yes. That ain't no ordinary cut on your forehead, Harry.",film 1,
Hagrid,"A mark like that only comes from being touched by a curse, and an evil curse at that.",film 1,
Harry,What happened to V...?,film 1,
Harry,To You-Know-Who?,film 1,
Hagrid,"Well, some say he died.",film 1,
Hagrid,"Codswallop, in my opinion.",film 1,
Hagrid,"Nope, I reckon he's out there still too tired to carry on.",film 1,
Hagrid,But one thing's absolutely certain. ,film 1,
Hagrid,Something about you stumped him that night.,film 1,
Hagrid,That's why you're famous.,film 1,
Hagrid,That's why everybody knows your name.,film 1,
Hagrid,You're the boy who lived.,film 1,
Hagrid,What are you looking at?,film 1,
Hagrid,"Blimey, is that the time?",film 1,
Hagrid,"Sorry, Harry, I'm gonna have to leave you.",film 1,
Hagrid,Dumbledore will be wanting his...,film 1,
Hagrid,"Well, he'll be wanting to see me.",film 1,
Hagrid,"Now, uh, your train leaves in 10 minutes.",film 1,
Hagrid,Here's your ticket. ,film 1,
Hagrid,"Stick to it, Harry that's very important. ",film 1,
Hagrid,Stick to your ticket.,film 1,
Harry,Platform 9 3/4?,film 1,
Harry,"But, Hagrid, there must be a mistake.",film 1,
Harry,This says platform 9 3/4.,film 1,
Harry,"There's no such thing, is there?",film 1,
Man,Sorry.,film 1,
Harry,Excuse me. Excuse me.,film 1,
Trainmaster,Right on your left Madam.,film 1,
Harry,"Excuse me Sir, Can you tell me where I might find platform 9 3/4?",film 1,
Trainmaster,"9 3/4? Think you're being funny, do ya?",film 1,
Mrs. Weasley,"It's the same every year, packed with Muggles, Of course. ",film 1,
Mrs. Weasley,Come on!,film 1,
Harry,Muggles?,film 1,
Mrs. Weasley,"Platform 9 3/4, this way.",film 1,
Mrs. Weasley,"All right, Percy, you first.",film 1,
Mrs. Weasley,"Fred, you next.",film 1,
George,"He's not Fred, I am.",film 1,
Fred,"Honestly, woman, you call yourself our mother?",film 1,
Mrs. Weasley,"Oh, I'm sorry, George.",film 1,
Fred,I'm only joking. I am Fred.,film 1,
Harry,Excuse me.,film 1,
Harry,Could you tell me how to...?,film 1,
Mrs. Weasley,How to get onto the platform?,film 1,
Mrs. Weasley,"Not to worry, dear.",film 1,
Mrs. Weasley,It's Ron's first time to Hogwarts as well.,film 1,
Mrs. Weasley,All you've got do is walk straight at the wall between platforms 9 and 10.,film 1,
Mrs. Weasley,Best do it at a bit of a run if you're nervous.,film 1,
Ginny,Good luck.,film 1,
Ron,Excuse me. Do you mind?,film 1,
Ron,Everywhere else is full.,film 1,
Harry,No. Not at all.,film 1,
Ron,"I'm Ron, by the way.",film 1,
Ron,Ron Weasley.,film 1,
Harry,I'm Harry. Harry Potter.,film 1,
Ron,So it's true!,film 1,
Ron,"I mean, do you really have the...?",film 1,
Harry,The what?,film 1,
Ron,The scar?,film 1,
Ron,Wicked!,film 1,
Woman,"Anything off the trolley, dears?",film 1,
Ron,"No, thanks. I'm all set.",film 1,
Harry,We'll take the lot.,film 1,
Harry,Bertie Bott's Every Flavor Beans?,film 1,
Ron,They mean every flavor.,film 1,
Ron,"There's chocolate and peppermint and there's also spinach, liver and tripe.",film 1,
Ron,George sweared he got a bogey-flavoured one once!,film 1,
Harry,"These aren't real frogs, are they?",film 1,
Ron,It's just a spell.,film 1,
Ron,"Besides, It's the cards you want.",film 1,
Ron,Each pack's got a famous witch or wizard.,film 1,
Ron,I've got about 500 myself.,film 1,
Ron,Watch it!,film 1,
Ron,"Oh, that's rotten luck.",film 1,
Ron,They've only got one good jump in them to begin with.,film 1,
Harry,I've got Dumbledore!,film 1,
Ron,I got about six of him.,film 1,
Harry,"Hey, he's gone!",film 1,
Ron,"Well, you can't expect him to hang around all day, can you?",film 1,
Ron,"This is Scabbers, by the way.",film 1,
Ron,"Pathetic, isn't he?",film 1,
Harry,Just a little bit.,film 1,
Ron,Fred gave me a spell as to turn him yellow.,film 1,
Ron,Want to see?,film 1,
Harry,Yeah.,film 1,
Hermione,Has anyone seen a toad?,film 1,
Hermione,A boy named Neville's lost one,film 1,
Ron,No.,film 1,
Hermione,"Oh, are you doing magic?",film 1,
Hermione,"Let's see, then.",film 1,
Ron,"Sunshine, daisies, butter mellow.",film 1,
Ron,Turn this stupid fat rat yellow.,film 1,
Hermione,Are you sure that's a real spell?,film 1,
Hermione,"Well, it's not very good, is it?",film 1,
Hermione,"Of course, I've only tried a few simple ones myself but they've all worked for me.",film 1,
Hermione,For example:,film 1,
Hermione,Oculus Reparo.,film 1,"Oculus Reparo, Reparo"
Hermione,"That's better, isn't it?",film 1,
Hermione,"Holy cricket, you're Harry Potter!",film 1,
Hermione,I'm Hermione Granger.,film 1,
Hermione,And you are...?,film 1,
Ron,I'm Ron Weasley.,film 1,
Hermione,Pleasure.,film 1,
Hermione,You two better change into robes.,film 1,
Hermione,I expect we'll be arriving soon.,film 1,
Hermione,"You've got dirt on your nose, by the way.",film 1,
Hermione,Did you know?,film 1,
Hermione,Just there.,film 1,
Hagrid,"Right, then.",film 1,
Hagrid,"First years, this way, please!",film 1,
Hagrid,"Come on, now, first years, don't be shy.",film 1,
Hagrid,"Come on now, hurry up.",film 1,
Hagrid,"Hello, Harry.",film 1,
Harry,"Hey, Hagrid.",film 1,
Hagrid,"Right, then. This way to the boats.",film 1,
Hagrid,"Come on, now, follow me.",film 1,
Ron,Wicked.,film 1,
McGonagall,Welcome to Hogwarts.,film 1,
McGonagall,"Now, in a few moments, you'll pass through these doors and join your classmates.",film 1,
McGonagall,"But before you can take your seats, you must be sorted into your houses.",film 1,
McGonagall,"They are Gryffindor, Hufflepuff Ravenclaw and Slytherin.",film 1,
McGonagall,"Now, while you're here, your house will be like your family.",film 1,
McGonagall,Your triumphs will earn you points.,film 1,
McGonagall,"Any rule-breaking, and you will lose points.",film 1,
McGonagall,"At the end of the year, the house with the most points is awarded the house cup",film 1,
Neville,Trevor! Sorry.,film 1,
McGonagall,The Sorting Ceremony will begin momentarily.,film 1,
Malfoy,"It's true then, what they're saying on the train.",film 1,
Malfoy,Harry Potter has come to Hogwarts.,film 1,
Whispers,Harry Potter?,film 1,
Malfoy,"This is Crabbe, and Goyle.",film 1,
Malfoy,And I'm Malfoy.,film 1,
Malfoy,Draco Malfoy.,film 1,
Malfoy,"Think my name's funny, do you?",film 1,
Malfoy,I've no need to ask yours.,film 1,
Malfoy,Red hair and a hand-me-down robe?,film 1,
Malfoy,You must be a Weasley.,film 1,
Malfoy,"We'll soon find out that some wizarding families are better than others, Potter.",film 1,
Malfoy,You don't want to go making friends with the wrong sort.,film 1,
Malfoy,I can help you there.,film 1,
Harry,"I think I can tell the wrong sort for myself, thanks.",film 1,
McGonagall,We're ready for you now.,film 1,
McGonagall,Follow me.,film 1,
Hermione,"It's not real, the ceiling. ",film 1,
Hermione,It's just bewitched to look like the night sky.,film 1,
Hermione,I read about it in Hogwarts: A History.,film 1,
McGonagall,"All right, will you wait along here, please?",film 1,
McGonagall,"Now, before we begin Professor Dumbledore would like to say a few words.",film 1,
Dumbledore,I have a few start-of-term notices I wish to announce.,film 1,
Dumbledore,"The first years, please note that the Dark Forest is strictly forbidden to all students.",film 1,
Dumbledore,"Also, our caretaker, Mr. Filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death.",film 1,
Dumbledore,Thank you.,film 1,
McGonagall,"When I call your name, you will come forth.",film 1,
McGonagall,I shall place the Sorting Hat on your head and you will be sorted into your houses.,film 1,
McGonagall,Hermione Granger.,film 1,
Hermione,"Oh, no. Okay, relax.",film 1,
Ron,"Mental, that one, I'm telling you.",film 1,
Sorting Hat,"Ah, right then... hmm... right.",film 1,
Sorting Hat,Okay. Gryffindor!,film 1,
McGonagall,Draco Malfoy.,film 1,
Sorting Hat,Slytherin!,film 1,
Ron,There isn't a witch or wizard who went bad who wasn't in Slytherin.,film 1,
McGonagall,Susan Bones.,film 1,
Ron,"Harry, what is it?",film 1,
Harry,"Nothing. Nothing, I'm fine.",film 1,
Sorting Hat,Let's see I know! Hufflepuff!,film 1,
McGonagall,Ronald Weasley.,film 1,
Sorting Hat,Another Weasley!,film 1,
Sorting Hat,I know just what to do with you.,film 1,
Sorting Hat,Gryffindor!,film 1,
McGonagall,Harry Potter.,film 1,
Sorting Hat,"Hmm... difficult, very difficult.",film 1,
Sorting Hat,"Plenty of courage, I see.",film 1,
Sorting Hat,"Not a bad mind, either.",film 1,
Sorting Hat,"There's talent, oh, yes.",film 1,
Sorting Hat,And a thirst to prove yourself.,film 1,
Sorting Hat,But where to put you?,film 1,
Harry,"Not Slytherin, not Slytherin!",film 1,
Sorting Hat,"Not Slytherin, eh? Are you sure?",film 1,
Sorting Hat,"You could be great, you know.",film 1,
Sorting Hat,"It's all here, in your head.",film 1,
Sorting Hat,"And Slytherin will help you on the way to greatnesses, no doubt about that.",film 1,
Sorting Hat,"No? Well, if you're sure.",film 1,
Sorting Hat,Better be...Gryffindor!,film 1,
McGonagall,"Your attention, please.",film 1,
Dumbledore,Let the feast begin.,film 1,
Seamus,I'm half and half.,film 1,
Seamus,My dad's a Muggle. Mum's a witch.,film 1,
Seamus,Bit of a nasty shock for him when he found out.,film 1,
Harry,"Say, Percy, who's that teacher talking to Professor Quirrell?",film 1,
Percy,"Oh, thats Professor Snape, head of Slytherin house.",film 1,
Harry,What's he teach?,film 1,
Percy,Potions.,film 1,
Percy,"But everyone knows, its the Dark Arts he fancies.",film 1,
Percy,He's been after Quirrell's job for years.,film 1,
Sir Nicholas,Hello! How are you?,film 1,
Sir Nicholas,Welcome to Gryffindor.,film 1,
Girl,"Look, It's the Bloody Baron!",film 1,
Percy,"Hello, Sir Nicholas.",film 1,
Percy,Have a nice summer?,film 1,
Sir Nicholas,"Dismal. Once again, my request to join the Headless Hunt has been denied.",film 1,
Ron,I know you.,film 1,
Ron,You're Nearly Headless Nick.,film 1,
Sir Nicholas,"I prefer Sir Nicholas, if you don't mind.",film 1,
Hermione,Nearly headless?,film 1,
Hermione,How can you be nearly headless?,film 1,
Sir Nicholas,Like this.,film 1,
Percy,"Gryffindors, follow me please.",film 1,
Percy,Keep up. Thank you.,film 1,
Boy,"Ravenclaw, follow me. This way.",film 1,
Percy,This is the most direct path to the dormitories.,film 1,
Percy,"Oh, and keep an eye on the staircases.",film 1,
Percy,They like to change.,film 1,
Percy,"Keep up, please, and follow me.",film 1,
Percy,"Quickly now, come on. Come on.",film 1,
Neville,That picture's moving.,film 1,
Ron,Look at that one.,film 1,
Harry,I think she fancies you.,film 1,
Girl,"Oh, look! Look!",film 1,
Girl,Who's that girl?,film 1,
Man in paint,Welcome to Hogwarts.,film 1,
Fat Lady,Password?,film 1,
Percy,Caput Draconis.,film 1,
Percy,"Follow me, everyone. Keep up.",film 1,
Percy,"Quickly, come on.",film 1,
Percy,Gather around here.,film 1,
Percy,Welcome to the Gryffindor common room.,film 1,
Percy,Boys' dormitory is upstairs and down to your left.,film 1,
Percy,"Girls, the same on your right.",film 1,
Percy,You'll find that your belongings have already been brought up.,film 1,
Ron,Made it!,film 1,
Ron,Can you imagine the look on old McGonagall's face if we were late?,film 1,
Ron,That was bloody brilliant!,film 1,
McGonagall,"Thank you for that assessment, Mr Weasley.",film 1,
McGonagall,"Perhaps, lt'd be more useful if I were to transfigure Mr. Potter and yourself into a pocket-watch.",film 1,
McGonagall,"That way, one of you might be on time.",film 1,
Harry,We got lost.,film 1,
McGonagall,Then perhaps a map?,film 1,
McGonagall,I trust you don't need one to find your seats.,film 1,
Snape,There will be no foolish wand-waving or silly incantations in this class.,film 1,
Snape,"As such, I don't expect many of you to appreciate the subtle science and exact art that is potion-making.",film 1,
Snape,"However, for those select few who possess the predisposition I can teach you how to bewitch the mind and ensnare the senses.",film 1,
Snape,I can tell you how to bottle fame brew glory and even put a stopper in death.,film 1,
Snape,"Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention.",film 1,
Snape,Mr. Potter.,film 1,
Snape,Our new celebrity.,film 1,
Snape,"Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?",film 1,
